date,lesson,change_summary,files_affected,social_caption,hashtags
"2026-04-21","Lesson 13","Created Lesson 13 JavaScript Fundamentals II: Arrays, Objects, ES6+ Features coursework with comprehensive tutor and student notes, interactive HTML reference playground, guided practice exercises, and data-processing assignments.","Lesson 13/README.md, Lesson 13/notes/tutor_notes.md, Lesson 13/notes/student_notes.md, Lesson 13/exercises/js_arrays_objects_practice.md, Lesson 13/assignments/assignment_brief.md, Lesson 13/examples/arrays-objects.html, Lesson 13/examples/script.js","Lesson 13 is live! 🚀 Elevating JS skills beyond basic variables to complex data structures using Arrays and Objects. Plus, writing cleaner code with ES6+ features like Arrow Functions, Template Literals, and Destructuring. Includes a full interactive browser playground to run map/filter calculations on the fly! 💻✨","#JavaScript #WebDev #LearnToCode #JSFundamentals #CodingEducation #FrontendDevelopment #100DaysOfCode"
"2026-04-21","Lesson 13 enhanced","Full overhaul of all Lesson 13 materials — rewrote tutor notes (250+ lines with 5 analogies, 11-point troubleshooter, 4-phase teaching script), rewrote student notes (250+ lines with arrays-of-objects deep dive, chaining section, and cheat sheet), rewrote 12 graded exercises with predict-then-run checkpoints, rewrote assignment with HTML setup template, 5 reflection questions and 3 bonus challenges, and fully rebuilt arrays-objects.html interactive reference (7 tabs, 9 live playgrounds, zero-index visual diagram, key-value diagram, old-vs-new ES6 panels, 7-question quiz with detailed explanations).","Lesson 13/notes/tutor_notes.md, Lesson 13/notes/student_notes.md, Lesson 13/exercises/js_arrays_objects_practice.md, Lesson 13/assignments/assignment_brief.md, Lesson 13/examples/arrays-objects.html","Lesson 13 just got a MASSIVE upgrade! 🔥 Arrays, Objects & ES6+ are some of the most important concepts in JavaScript — so we made sure the lesson is built to match. Visual index diagrams, key-value maps, old-vs-new ES6 comparisons, 9 live code playgrounds, a 12-challenge exercise sheet, and a 7-question quiz with detailed explanations. This is how data structures should be taught. 📊🚀","#JavaScript #Arrays #Objects #ES6 #LearnToCode #WebDev #JSFundamentals #CodingEducation #100DaysOfCode #TechEducation"
"2026-04-21","Lesson 12 quiz added","Added a full 7-question quiz section to the Lesson 12 DOM Events interactive HTML reference — quiz CSS styles, a new nav tab, 7 questions covering DOM selection methods, textContent vs innerHTML safety, classList methods, toggle behaviour, addEventListener best practices, XSS vulnerability risks, and NodeList iteration, all with instant feedback and a scored summary.","Lesson 12/examples/dom-events.html","Lesson 12's interactive reference now has a full quiz! 🎯 Test yourself on DOM selection, manipulation, events, and security best practices — instant feedback on every answer plus a scored summary at the end. This is how you LOCK IN what you've learned. 🧠💡","#JavaScript #DOMManipulation #WebDev #LearnToCode #CodingEducation #FrontendDev #100DaysOfCode"
"2026-04-27","Lesson 14","Created Lesson 14 Asynchronous JavaScript (Promises, Async/Await & Fetch) coursework — including comprehensive tutor notes ( analogies, 8-point troubleshooter, teaching script), student notes (Event Loop overview, Promise states, Async/Await rules, Fetch two-step process), interactive HTML reference (6 tabs, live async playgrounds, Promise visualizer, 4-question quiz), 11 progressive practice exercises, and a User Directory assignment brief.","Lesson 14/README.md, Lesson 14/notes/tutor_notes.md, Lesson 14/notes/student_notes.md, Lesson 14/examples/asynchronous-js.html, Lesson 14/exercises/async_js_practice.md, Lesson 14/assignments/assignment_brief.md","Lesson 14 is here! 📡 Mastering the power of Asynchronous JavaScript. We're moving from blocking code to modern Promises, Async/Await, and the Fetch API. Includes an interactive visualizer for Promise states and a live fetch playground. Students will build a real-world User Directory app using JSONPlaceholder! 🚀💡","#JavaScript #AsyncJS #Promises #AsyncAwait #FetchAPI #WebDev #LearnToCode #100DaysOfCode #FrontendDevelopment #TechEducation"
"2026-04-27","Lesson 14 enhanced","Full overhaul of Lesson 14 materials — rewrote student notes (230+ lines: callback hell demo, event loop diagram, .then()/.catch()/.finally() table, HTTP status code table, JSON cheat sheet, old-vs-new async comparison); rewrote 12 exercises with exact expected outputs, predict-then-run prediction boxes, checkpoint questions, and 4 reflection questions; fixed critical async playground engine bug (async IIFE wrapper so await/fetch code actually runs); expanded quiz from 4 to 7 questions with data-correct attribute logic and detailed pedagogical feedback; added .then()/.catch()/.finally() reference card to Promises tab; added response.ok warning callout and two-step fetch table to Fetch tab.","Lesson 14/notes/student_notes.md, Lesson 14/exercises/async_js_practice.md, Lesson 14/examples/asynchronous-js.html","Lesson 14 just got a serious upgrade! 🔥 Async JS is genuinely confusing the first time — so we fixed everything. The interactive playground now actually runs await and fetch live in the browser (there was a silent bug!), the quiz grew to 7 questions with full explanations, and the student notes now include a Callback Hell example, Event Loop diagram, and a .then() vs async/await side-by-side so students see WHY modern syntax is better. This is how async JS should be taught. 📡🧠","#JavaScript #AsyncJS #Promises #AsyncAwait #FetchAPI #LearnToCode #WebDev #100DaysOfCode #TechEducation #CodingEducation"
"2026-04-29","Lesson 15","Created Lesson 15 Project Session — To-Do List & Weather App — including comprehensive tutor notes (both project build paths with milestones, code, analogies, 8-point troubleshooter, and session closing check), student notes (pseudocode methodology, full project architectures, event delegation explanation, localStorage patterns, debugging checklist, cheat sheet), milestone-based planning exercises with pseudocode templates, full project assignment brief with requirements and assessment criteria for both options, complete working To-Do App reference (add/toggle/delete, filters, task count, localStorage, event delegation, empty states), and complete working Weather App reference (real OpenWeatherMap API integration, demo mode, loading/error/success states, two-step fetch with response.ok check, API key input).","Lesson 15/README.md, Lesson 15/notes/tutor_notes.md, Lesson 15/notes/student_notes.md, Lesson 15/exercises/project_planning.md, Lesson 15/assignments/assignment_brief.md, Lesson 15/examples/todo-app.html, Lesson 15/examples/weather-app.html","Lesson 15 is here and it's a milestone — our first full PROJECT session! 🚀 Students choose between building a To-Do List App or a Weather App, applying everything from Lessons 10–14: Arrays, DOM, Events, Async/Await, and the Fetch API. We've provided complete working reference implementations for BOTH projects — including localStorage persistence, event delegation, real API integration with loading/error states, and a demo mode so students can see the weather app even before their API key activates. This is where JavaScript becomes real. 🛠️💡","#JavaScript #ProjectBased #WebDev #LearnToCode #BuildSomething #ToDoApp #WeatherApp #FetchAPI #DOM #AsyncJS #100DaysOfCode #TechEducation"
"2026-04-29","Lesson 15 enhanced","Pedagogical overhaul of all Lesson 15 materials — rewrote student notes with skills-from-lessons mapping table, HTML skeleton starters for both projects, step-by-step build guides with console.log-first strategy, event delegation wrong/right comparison, and common mistakes table; rewrote project planning exercises with full annotated starter JS files (with TODO hints), HTML templates, and milestone checkpoint tables; added Skills Integration Map and 7 Live Debug Scenarios to tutor notes; upgraded both HTML reference apps with structured study panels listing 5 key code patterns each and 4 guided experiments for active learning.","Lesson 15/notes/student_notes.md, Lesson 15/exercises/project_planning.md, Lesson 15/notes/tutor_notes.md, Lesson 15/examples/todo-app.html, Lesson 15/examples/weather-app.html","Lesson 15 just got a massive upgrade! 🔥 The biggest fix: students had complete apps to READ but no guidance on HOW to build. Now every file answers the hardest question in project sessions — 'I have a blank file. Where do I start?' HTML starters, annotated JS templates with TODO hints, a Skills Integration Map linking to Lessons 10–14, 7 debug scenarios for tutors, and guided experiments in both reference apps. This is how project-based learning should work. 🛠️📚","#JavaScript #ProjectBased #LearnToCode #WebDev #BuildSomething #ToDoApp #WeatherApp #TechEducation #100DaysOfCode #CodingEducation"
"2026-04-29","Lesson 15 Weather Provider Update","Switched weather provider from OpenWeatherMap to Open-Meteo + Nominatim geocoding across all Lesson 15 materials; removed API key requirement to eliminate student friction and 2-hour activation wait; updated weather-app.html reference with chained fetch pattern (geocoding then weather); updated tutor and student notes to explain the coordinates-first workflow; updated project planning templates and assignment brief to reflect the new API structure and features.","Lesson 15/examples/weather-app.html, Lesson 15/notes/tutor_notes.md, Lesson 15/notes/student_notes.md, Lesson 15/exercises/project_planning.md, Lesson 15/assignments/assignment_brief.md","Lesson 15 Weather App just got much smoother! 🌤️ No more waiting 2 hours for API keys. We've switched to Open-Meteo and OpenStreetMap Nominatim. This not only makes the app 100% free and instant but also teaches a more advanced 'Chained Fetch' pattern: first you get the coordinates, then you get the weather. It's a real-world scenario that prepares students for complex API integrations. instant building, better learning. 🛠️📡","#JavaScript #WeatherApp #OpenMeteo #NoAPIKey #LearnToCode #WebDev #AsyncJS #FetchAPI #CodingEducation #100DaysOfCode"
"2026-04-29","Lesson 15 Weather Data Enrichment","Populated the remaining weather stats (Feels Like, Humidity, Pressure) with real data from Open-Meteo; updated the API request URL to include specific 'current' parameters for these variables; synchronized all teaching materials (tutor notes, student notes, planning exercises) to use the updated 'current' object structure and property names, ensuring students learn the most recent API patterns; verified that the reference app now shows a complete data-driven dashboard.","Lesson 15/examples/weather-app.html, Lesson 15/notes/tutor_notes.md, Lesson 15/notes/student_notes.md, Lesson 15/exercises/project_planning.md","Weather app stats are now 100% data-driven! 📡 We've enriched the dashboard to show Feels Like, Humidity, and Pressure directly from Open-Meteo. This update also transitions our teaching materials to the latest 'current' API object structure, giving students experience with modern, property-specific API requests. The weather dashboard is now a complete, professional-grade reference. 🌡️📊","#JavaScript #WeatherApp #OpenMeteo #DataVisualization #WebDev #LearnToCode #APIIntegration #AsyncJS #100DaysOfCode #CodingEducation"
"2026-05-06","Lesson 16","Created Lesson 16 Computer Science Basics: Big O Notation & Complexity coursework � including comprehensive tutor notes (teaching analogies for O(1), O(n), O(n^2), and O(log n), common student pitfalls, session outline), student notes (jargon-free explanations, complexity tables, JavaScript examples, step-by-step guide on calculating Big O, optimizing nested loops using Hash Maps), an interactive HTML Big O Visualizer (featuring a time complexity chart, interactive Code Analyzer, and an animated Linear vs Binary Search Race), 5 practice exercises with a bottleneck identification challenge, and an assignment brief (implementing Linear/Binary Search manually and optimizing an O(n^2) function).","Lesson 16/README.md, Lesson 16/notes/tutor_notes.md, Lesson 16/notes/student_notes.md, Lesson 16/examples/big-o-visualizer.html, Lesson 16/exercises/complexity_practice.md, Lesson 16/assignments/assignment_brief.md","Lesson 16 is live! ?? Moving from 'does it work?' to 'does it scale?' We're tackling Big O Notation and Algorithm Efficiency. We built an awesome interactive Big O Visualizer where students can race a Linear Search against a Binary Search to visually grasp O(n) vs O(log n). They'll also learn the ultimate cheat code: trading space for time using Hash Maps to optimize O(n^2) code down to O(n). This is the bridge from 'coder' to 'software engineer'. ????","#JavaScript #ComputerScience #BigONotation #Algorithms #LearnToCode #TechEducation #100DaysOfCode #WebDev"
"2026-05-06","Lesson 16 enhanced","Pedagogical overhaul of all Lesson 16 materials: rewrote student_notes.md with growth-rate comparison table, full binary search implementation, fixed quadratic-vs-exponential factual error, enriched all O() sections with annotated code and beginners-trap table; rewrote exercises with predict-first boxes, 6th hidden-loop exercise, 4-step benchmark challenge and collapsible hints; rebuilt big-o-visualizer.html with a canvas Complexity Chart tab (5 curves + data table), improved Search Race with Steps Saved stat, and Code Analyzer with 7 snippets including binary search and hidden loop; rewrote tutor_notes.md with opening hook demo, teaching scripts, corrected pitfall list and live benchmark demo; rewrote assignment_brief.md with step-by-step binary search trace, scaffolded while loop, fill-in-the-blank manager explanation.","Lesson 16/notes/student_notes.md, Lesson 16/notes/tutor_notes.md, Lesson 16/examples/big-o-visualizer.html, Lesson 16/exercises/complexity_practice.md, Lesson 16/assignments/assignment_brief.md","Lesson 16 just got a serious upgrade! The Big O Visualizer now has a live canvas chart showing exactly how O(1), O(log n), O(n), and O(n^2) diverge as input grows. Student notes now include the full binary search implementation and a growth-rate table that makes the concept click instantly. Plus a benchmark challenge that shows the real-world performance gap between O(n^2) and O(n) in your own browser. This is CS fundamentals done right.","#ComputerScience #BigONotation #Algorithms #JavaScript #LearnToCode #TechEducation #100DaysOfCode #WebDev"
"2026-05-06","Lesson 17","Created Lesson 17 Computer Science Basics: Data Structures (Stacks, Queues, Linked Lists) � including tutor notes (90-min outline, opening hook benchmark, LIFO/FIFO analogies, 3 pitfalls, 5 comprehension questions, Big O reference table, 3 live debug scenarios), student notes (full class implementations for Stack/Queue/Node/LinkedList with ASCII diagrams and Big O tables), interactive HTML visualizer (3-tab animated playground for Stack/Queue/Linked List with push/pop/enqueue/dequeue/insertAtHead/search/remove and live operation logs), 7 practice exercises (trace exercises, string reverser, balanced brackets scaffold, printer queue, linked list traversal), and assignment brief (4 tasks with scaffolded TODOs and 6 tests each).","Lesson 17/README.md, Lesson 17/notes/tutor_notes.md, Lesson 17/notes/student_notes.md, Lesson 17/examples/data-structures.html, Lesson 17/exercises/data_structures_practice.md, Lesson 17/assignments/assignment_brief.md","Lesson 17 is here � Data Structures! Stacks, Queues, and Linked Lists. These are the building blocks every developer uses daily without realising it. We built a fully interactive visualizer so students can push, pop, enqueue, dequeue and watch nodes link together in real-time. Plus the classic balanced parentheses challenge that shows up in every technical interview. CS fundamentals done practically.","#DataStructures #JavaScript #ComputerScience #Stacks #Queues #LinkedLists #LearnToCode #TechEducation #100DaysOfCode"
"2026-05-06","Lesson 17 enhanced","Pedagogical overhaul of all Lesson 17 materials: rewrote student_notes.md with fixed Queue ASCII diagram, step-by-step pointer walkthrough for LinkedList add(), Linked List operations table, When to Choose guide; rewrote exercises with class setup reminder, collapsible trace answers, bracket trace walkthrough, complexity analysis on Ex2, Choose the Right Structure scenario exercise with answers; rewrote assignment with Task 3 as true from-scratch implementation (toArray + contains), complexity analysis on all tasks, structured fill-in-the-blank for Task 4; improved tutor_notes.md with three-question opening hook, 7-question comprehension check with full answers, When to Choose decision tree diagram, 5th debug scenario for ReferenceError.","Lesson 17/notes/student_notes.md, Lesson 17/notes/tutor_notes.md, Lesson 17/exercises/data_structures_practice.md, Lesson 17/assignments/assignment_brief.md","Just shipped a major upgrade to the Lesson 17 Data Structures curriculum. The student notes now walk you through pointer diagrams step-by-step so you can SEE how head and tail change as nodes are added. The exercises now tell you which class to paste in first (no more mysterious ReferenceErrors). And the assignment now actually makes you think � no copy-paste allowed. #DataStructures #JavaScript #LearnToCode #ComputerScience","#DataStructures #JavaScript #Stacks #Queues #LinkedLists #LearnToCode #100DaysOfCode"
"2026-05-10","Lesson 20","Created Lesson 20 Frontend Frameworks: State Management (useState, useEffect) � tutor notes (opening broken-counter hook, 3 analogies, 5 pitfalls, 6 comprehension Qs, dependency pattern reference, 5 debug scenarios), student notes (BrokenCounter motivation, useState counter/toggle/form, props vs state table, 3 useEffect patterns, data fetching with loading/error/success, cleanup timer/listener, functional update form, common mistakes table), state-visualizer.html (useState counter with render counter, toggle with boolean state, controlled input with character warning; useEffect explorer simulating all 4 patterns with timestamped log; data fetch calling JSONPlaceholder with 3 state UI), exercises (8 exercises: trace re-renders, toggle, controlled input, multiple state, identify useEffect pattern, document title sync, data fetch scaffold, live clock cleanup), assignment (contact form, document title tracker, post browser with fetch, bonus AbortController).","Lesson 20/README.md, Lesson 20/notes/tutor_notes.md, Lesson 20/notes/student_notes.md, Lesson 20/examples/state-visualizer.html, Lesson 20/exercises/state_practice.md, Lesson 20/assignments/assignment_brief.md","Lesson 20 dropped � React State Management. useState and useEffect are the two hooks every React developer uses every single day. We built an interactive visualizer that shows you the render counter ticking up on every state change, lets you fire useEffect patterns and watch EXACTLY when they fire in a timestamped log, and even calls a real API live so you can see the loading ? success ? error flow. This is what makes React click.","#ReactJS #useState #useEffect #JavaScript #Frontend #WebDev #LearnToCode #100DaysOfCode"
"2026-05-10","Lesson 18","Created Lesson 18 Computer Science Basics: Algorithms (Sorting, Searching) � tutor notes (card-sort hook, 4 analogies, 5 pitfalls, Big O table, 4 debug scenarios), student notes (Linear/Binary Search, Bubble/Selection Sort traces, Big O comparison, array.sort() trap), algorithms-visualizer.html (Animated Sorting tab for Bubble/Selection, Searching tab comparing Linear/Binary with search space elimination), exercises (trace Linear vs Binary, unsorted Binary trap, Bubble/Selection traces, optimised Bubble Sort code), assignment (Insertion Sort research/implementation, Binary Search first occurrence modification, real-world scenario Big O analysis).","Lesson 18/README.md, Lesson 18/notes/tutor_notes.md, Lesson 18/notes/student_notes.md, Lesson 18/examples/algorithms-visualizer.html, Lesson 18/exercises/algorithms_practice.md, Lesson 18/assignments/assignment_brief.md","Lesson 18 is here! ?? We built an interactive Algorithms Visualizer that lets you literally SEE how Bubble Sort and Selection Sort work under the hood with animated bars. Plus, we race Linear Search against Binary Search to prove exactly why O(log n) is so powerful. Get ready to level up your computer science fundamentals! ?? #Algorithms #ComputerScience #LearnToCode #JavaScript #Sorting #BinarySearch"
"2026-05-10","Lesson 19","Created Lesson 19 Frontend Frameworks: Intro to React, Components, Props � tutor notes (Vanilla DOM pain hook, Lego block analogies, 4 pitfalls, 5 comprehension Qs, 4 debug scenarios), student notes (declarative vs imperative, component structure, 4 rules of JSX, passing/destructuring props, Vite setup), react-playground.html (Zero-build interactive React editor using Babel standalone to teach components/props live), exercises (JSX error spotting, destructuring props, building/rendering Product components, mapping arrays), assignment (Vite initialization, Reusable Button, Project Card with array mapping, Header layout).","Lesson 19/README.md, Lesson 19/notes/tutor_notes.md, Lesson 19/notes/student_notes.md, Lesson 19/examples/react-playground.html, Lesson 19/exercises/react_practice.md, Lesson 19/assignments/assignment_brief.md","Lesson 19 is live! We officially entered the React era today. ?? We built a custom Zero-Build React Playground so you can write JSX and instantly see the results in your browser before ever touching the terminal. Goodbye vanilla DOM manipulation, hello declarative Lego-block components! #ReactJS #WebDevelopment #Frontend #JavaScript #100DaysOfCode #LearnReact"
"2026-05-10","Lessons 16-20","Pedagogical audit: added quiz files to all 5 lessons (10 MC + trace/short-answer + answer keys each); converted L19 from Babel HTML playground to pnpm Vite React app (UserCard/Button/Badge components with teaching annotations); converted L20 from vanilla-JS simulator to pnpm Vite React app (4 real hooks demos: CounterDemo with render log, ToggleDemo with controlled input, FetchDemo with AbortController, ClockDemo with cleanup log); added Lesson 18 preview annotation to L16 notes; added traversal pattern walkthrough with toArray/contains worked examples to L17 notes; updated L19 exercises to mandate Vite and added avatarUrl Exercise 7.","Lesson 16/quiz/, Lesson 17/quiz/, Lesson 18/quiz/, Lesson 19/quiz/, Lesson 20/quiz/, Lesson 19/examples/react-intro-app/, Lesson 20/examples/state-demo-app/","Big curriculum upgrade just dropped! ?? Added comprehensive quizzes to Lessons 16-20 (Big O, Data Structures, Algorithms, React, Hooks). Plus, React lessons now use real Vite projects � not HTML playgrounds. Students get hands-on with actual tooling from day one. #React #Vite #TeachingCode #JavaScript #WebDev"
"2026-05-10","Lessons 16-20","Converted all quizzes from markdown to interactive GUIs: L16/17/18 get standalone quiz.html files with click-to-select MC, code blocks, trace input tables, per-answer explanations, and animated results screen; L19 Quiz.jsx and L20 Quiz.jsx integrated as React components with tab navigation within existing Vite apps (pnpm build verified on both).","Lesson 16/quiz/quiz.html, Lesson 17/quiz/quiz.html, Lesson 18/quiz/quiz.html, Lesson 19/examples/react-intro-app/src/Quiz.jsx, Lesson 20/examples/state-demo-app/src/Quiz.jsx","Quizzes just got a serious upgrade! ?? All 5 lessons now have interactive quiz GUIs � click your answer, get instant feedback, and see your score. No more markdown! React lessons even have the quiz built right into the Vite app. #ReactJS #LearnToCode #InteractiveLearning #WebDev"
